Time Custom..._Count Custom..._Conc Glycerol_Count Glycerol_Conc Custom..._Died bacteria_couldn't_eat
1316 343 2.58 0 0.0 1 343
1318 343 2.58 0 0.0 1 343
1320 343 2.58 0 0.0 1 343
1322 343 2.58 0 0.0 1 343
1324 343 2.58 0 0.0 1 343
1326 343 2.58 0 0.0 1 343
1328 343 2.58 0 0.0 1 343
1330 343 2.58 0 0.0 1 343
1332 343 2.58 0 0.0 1 343
1334 343 2.58 0 0.0 1 343
1336 343 2.58 0 0.0 1 343
1338 343 2.58 0 0.0 1 343
1340 343 2.58 0 0.0 1 343
1342 343 2.58 0 0.0 1 343
1344 343 2.58 0 0.0 1 343
1346 343 2.58 0 0.0 1 343
1348 343 2.58 0 0.0 1 343
1350 343 2.58 0 0.0 1 343
1352 343 2.58 0 0.0 1 343
1354 343 2.58 0 0.0 1 343
1356 343 2.58 0 0.0 1 343
1358 343 2.58 0 0.0 1 343
1360 343 2.58 0 0.0 1 343
1362 343 2.58 0 0.0 1 343
1364 343 2.58 0 0.0 1 343
1366 343 2.58 0 0.0 1 343
1368 343 2.58 0 0.0 1 343
1370 343 2.58 0 0.0 1 343
1372 343 2.58 0 0.0 1 343
1374 343 2.58 0 0.0 1 343
1376 343 2.58 0 0.0 1 343
1378 343 2.58 0 0.0 1 343
1380 343 2.58 0 0.0 1 343
1382 343 2.58 0 0.0 1 343
1384 343 2.58 0 0.0 1 343
1386 343 2.58 0 0.0 1 343
1388 343 2.58 0 0.0 1 343
1390 343 2.58 0 0.0 1 343
1392 343 2.58 0 0.0 1 343
1394 343 2.58 0 0.0 1 343
1396 343 2.58 0 0.0 1 343
1398 343 2.58 0 0.0 1 343
1400 343 2.58 0 0.0 1 343
1402 343 2.58 0 0.0 1 343
1404 343 2.58 0 0.0 1 343
1406 343 2.58 0 0.0 1 343
1408 343 2.58 0 0.0 1 343
1410 343 2.58 0 0.0 1 343
1412 343 2.58 0 0.0 1 343
1414 343 2.58 0 0.0 1 343
1416 343 2.58 0 0.0 1 343
1418 343 2.58 0 0.0 1 343
1420 343 2.58 0 0.0 1 343
1422 343 2.58 0 0.0 1 343
1424 343 2.58 0 0.0 1 343
1426 343 2.58 0 0.0 1 343
1428 343 2.58 0 0.0 1 343
1430 343 2.58 0 0.0 1 343
1432 343 2.58 0 0.0 1 343
1434 343 2.58 0 0.0 1 343
1436 343 2.58 0 0.0 1 343
1438 343 2.58 0 0.0 1 343
1440 343 2.58 0 0.0 1 343
